instrument_id,test_id,ibp,fbp
d1786860-8805-4192-af2b-a6f12832ac56,59b9994cb68eae548a8a0e750b8395ef40ed9fcea88a98600ee6a5ebebfb574a,35.44,139.238
d1786860-8805-4192-af2b-a6f12832ac56,e218060f2dc41a3096dbfbdd7058070c87de13716f595522e6fb9c121593663e,29.072,147.896
d1786860-8805-4192-af2b-a6f12832ac56,24d4e04bff5d8e1b4ba825d088d0be286decb54c7674bd7bc86b8794559a24e3,33.126,123.352
d1786860-8805-4192-af2b-a6f12832ac56,97cf3550307a7862ff712be11b46048962e6629e9273fc24e9fffb8271a1647a,29.091,141.015
d1786860-8805-4192-af2b-a6f12832ac56,54de1b6c2be3c5591bde4073ba312d3df4fbca4091929e99329a2e7186df8606,39.665,105.397
d1786860-8805-4192-af2b-a6f12832ac56,97067e74d9cd219ce43e57e017142ac78daff3d17e3ba3f4fdd4978eafc7e5e8,28.463,154.331
d1786860-8805-4192-af2b-a6f12832ac56,90e2f0b057a53c0dc8f6ecb349396039f7074ce2809e0ea6a21a42f24bd3b782,41.949,149.426
d1786860-8805-4192-af2b-a6f12832ac56,8c713bacd216a80e985a100f92f34c0abefc5cd827c52bb7f32e6267a714b68b,30.22,138.547
d1786860-8805-4192-af2b-a6f12832ac56,76b5a530aef5c32708557da7e18fe36589cebe816a4e23d2d05ec1343b5885be,25.934,152.336
d1786860-8805-4192-af2b-a6f12832ac56,0e322bd71dcfec75d3d0c232cc0c1c5c0de8d45e1a0d2aa6e12c26f7dc606118,46.947,121.188
d1786860-8805-4192-af2b-a6f12832ac56,1986ba802b72921c0e8b890993319c29c0f7fc658b71750204f0c9ee18bc1ee1,54.759,157.368
d1786860-8805-4192-af2b-a6f12832ac56,d32084d3e78df57bd23ac1bb635f0a28cc5b1c6acef7d1b3c951f4faa8028c6f,59.258,95.959
d1786860-8805-4192-af2b-a6f12832ac56,c54ea5cd4011dd11290752a28c0a1451e834caa957413b7fbcd97bca47f73329,37.235,121.907
d1786860-8805-4192-af2b-a6f12832ac56,1101ae2beaa4ec7723d578d1b77da400e79762a61972b6f84a98ef3991f35a34,41.38,138.022
d1786860-8805-4192-af2b-a6f12832ac56,9b0f9e790b245097bd4d752875698f414f64c4edfeb10f8a8d899242f78781fe,25.5,145.218
0889e4ec-1473-4d57-a5cb-df61853edf03,30a5f9577ca281dfbc63af1ffb9655ecef971f392be67a168e9ad9213c325e0d,66.521,116.626
0889e4ec-1473-4d57-a5cb-df61853edf03,fe4afcd387800baa717fcc7cc5facf783a0c77017a7c1c52223e152110a15eff,57.272,132.587
0889e4ec-1473-4d57-a5cb-df61853edf03,567672fe11c81c0584dacf64e123b867444ff1333237ac49bd0b2c5fd716e748,21.751,25.795
942706ef-836a-4464-bc76-74aa97b76f8b,d2e35d0c8fbb050a53d31b66ac52d7d6211aa62c85bf8a4fc793d4fbb549234f,36.449,138.744
