instrument_id,test_id,ibp,fbp
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,a3ed98affe807d4d139f7b9d196491b6fe3eeffd1ed030181eb21fbff137c4ae,27.299,70.852
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,5aa31576964a9ef7d84c693399a3ee81a77cea7c5855669a37661ee445c3fccf,39.544,129.459
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,580d67543fcd1e7cbb3787ed69d1340400632b9c251221f3ba1c581f1473a522,34.724,124.341
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,190dc23bdff9d21a06578a2abbe17d81a624524dabd0b52ec6dff9a461764c7b,33.461,142.024
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,e9dd2b534bc78356eddc442dd9b7112437eae53d081321592d8cf7ff05f7d8a7,32.705,126.74
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,d78e498c832c38821a6c6eb2845e7191ed656e32f2188b799566f44dd42b127f,48.026,155.818
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,3907c5c2263c721c32bf505c7fe2523ef1cf6b7f76845a702e39d542e11b4713,32.404,136.695
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,e09096ab775255860aaa30595a3b1457be3a8fa965752067d361c501defce770,37.719,131.537
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,48ce25226ee5fd2e4afa8679cc304f97d48a5e2dd1fd451eeafcc5e75be50076,36.787,153.394
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,324fafa4396df694e3b3a0c7435817238582297c306cc3c99c72189c2b0f8555,27.177,83.785
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,d44133ec5e6fc9161220d673a11f624ca65f3014cbde06bcd0beeed6df3111cd,45.218,120.418
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,05ae5b868efdb74225b1e01383c2769de44fd8fc9a09a02870ac29c70533a751,27.159,80.991
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,57bfdc41bcc6b0954e04ae626ddc9e230008d85562185346740f85868c43f449,32.279,100.085
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,d7d3bf147a9484d9490dd63cc5d266d219d357e2b02b88520ba24eec8762436d,125.786,126.901
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,de30152eb765c3f1e6795996b6e38449d03f6318e3cd676b2eb2fd6bf847f472,48.429,150.534
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,afeedbb4b8b121eda4bec1a22cf82bd577563f0c3aa5ac28b58fc8525f055ad2,42.951,145.517
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,4734f1f562cc147fbb87b69cfa178719522fa031487457851e22d90f459a807f,27.903,136.369
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,b111b0493edafb153bbbbf426115e5c69c4a87ce269160df4c053a6e25684606,26.654,106.672
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,eb4f69f94ed414686a58f6eef38aab194188e0a707714cfd9a3d9cf19cb3d344,28.4,133.55
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,9d5e29b59eb0b4e04a85d3c2d5fe7a7afcb2720521d8afc3b6f461339dd00aa1,20.405,142.553
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,6cc8236ced1c0809cb88f154f2d4e8a0bf1e3fc9cad9061e37cd0b9707c9f97f,38.185,135.96
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,611c967ffb5c734dd544040fc41b1c3a82eaaa6d99d0330061dbefa31bc51f9f,36.959,134.98
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,8c8f5ea4b52240c7ab5b388c6536ba9c44d60b82ddbfe58042aa4643492cb3e3,32.297,138.204
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,6fa2985aecaa89de0a234dff6f20b8d3305bafe2b4074c43c5d08b4bc93bb15b,35.68,127.898
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,f421c0e5dde24f67c7f9a3f960499709b192505ce4f55759d92668664a7e082a,36.815,136.028
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,7077e6b3220ed8fee3040457e64f34900c38b8b12de024c4675ab7d2b5e8e631,56.686,126.279
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,0bd2f9342a4db381acfbe5746e3e763b93d849451f6b59456fc233b79a77d7f6,50.244,115.688
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,9855ab9be3729ece0cd9e07012302b0c5128c73ae245a40460adfa6853b11bde,35.07,146.513
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,2dd3b34a274a44a993ba0a7ec1140f491aa713449bfa8ac0f86f38f0c0366730,31.733,157.193
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,3a2cb3b1b0fefdcf4e69a396bec61cf8706f402a0ccd2e5de02491a1d4404845,33.652,146.884
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,3831dfe345e3c4d1881546409ec6159e63dc803c373c90e0c0cc95d1b56c8741,32.751,135.324
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,ddb6cb084f5d17c518e771915975e3e4df93960de840c612eb0ebdff6eb7983c,31.499,163.265
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,d20e70e5136432aaae7a0b0dca61904c9d6b5af0b51b01d1d64dfe982f410132,35.069,129.795
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,157084f24f0a8f7f1ef3e2fc7e5006aecb3dc983c3dd4075dff6e7c5018a7d76,44.252,137.26
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,ed7a24c72b4d93770baee48b5b4858e248e6665b28d095503d093d841e55cd68,35.602,148.869
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,9392f7c31be49a2fc7392058fc9f3311aea6c7eba97c5600cf13a7d2dbab9564,30.543,148.805
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,9a67824da48ef9820022d33495292e955a8ebb2f39e17131d3e6c2c5cdb9332d,31.911,147.825
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,0cf4a371a8bba875c4fb7b44b9990c93d481ee1170aae1c2d6fe57371d69d1a2,32.122,149.025
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,1182c42108638fdece1c6909005a9c583b6928da7e6647f7699cb63340582298,32.616,143.005
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,bf2bf3eb3e752d3d129520b565e1594e1aa9adfa1eecfd7a59de1cd23b39bf0b,38.691,138.252
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,e4cf84d9ab5f1acf037c6bc116e2003f1187bd01f0493c46c4a3a6b727f2b62b,35.357,161.55
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,947187816c213f64143630f8f03b4a6ecb2119446e5b09cfab8eb36d13325bce,34.412,166.055
