instrument_id,test_id,ibp,fbp
62548191-5d9a-41c7-aae5-5788aec74ee4,db1a6948b488aa4476085780bdf2a984ebdc4802352caae3200c2dcc37214ce9,39.589,165.524
1114da92-0859-4dfb-a363-26447dc0f84d,4955105fdc3125ad8276455c922262bb32fef5ddb79c4bffb3ef0c44a01e03e3,47.002,131.714
1114da92-0859-4dfb-a363-26447dc0f84d,11761b360033ada105174d288e7224ef908c4cd7b36b7f805d8311b3d189e9b9,40.724,157.007
2ed1d374-7800-48a8-9a5e-dca96443823a,b591d0366e3d2257350243485438b2fa0b369e9bbc410abf12bd0c20cdf60aaa,35.355,150.82
62548191-5d9a-41c7-aae5-5788aec74ee4,12427bfb674ec97fd3ff9bd6bdf6b8488fdfb872e8a33676d713e3d1ad408967,39.156,163.545
2ed1d374-7800-48a8-9a5e-dca96443823a,9615f5f9595d83ad902ce31baaf4f1eb94d19ec0ab24a653359c45c091ecafa5,27.767,100.871
d1786860-8805-4192-af2b-a6f12832ac56,d6629131af75da873d1a02edeea11ac683c1fafae4845a2e40438b79f24d99d1,97.322,97.525
731f339c-0327-4a22-9df3-3324da5ac628,eeb2ac62b458b1fa88e372e729ff670f24dc396a4845a70a1190ae8658da8aa0,28.785,98.33
92326ee8-3704-4d95-860a-288c627e35f7,48d809a83d33ebad9ac2728691b3bd6319a105ffe0d955c812d5fcd462ef05cc,43.544,127.263
1114da92-0859-4dfb-a363-26447dc0f84d,6ccb14c56f7d7d3e4aea27f431d75247e6c3b2cd7b71b489b194f8a54d2e09ef,113.255,165.807
1114da92-0859-4dfb-a363-26447dc0f84d,7ed0b2a283919925ab15851761adaee4a2d81bd26bce657a6a1f2be087643380,45.07,126.34
62548191-5d9a-41c7-aae5-5788aec74ee4,a52363029ca2c7a776dc6358afbf0219787d8c3ccbf514b2a9f78df8d5ea6f08,40.301,173.075
1114da92-0859-4dfb-a363-26447dc0f84d,0a72ae583371004b7554879248e854f0be022abbc85a0fd849c5012c063e87aa,37.881,117.672
62548191-5d9a-41c7-aae5-5788aec74ee4,c5a1416fb26280e95d69fbb5d7eeb85131b92f20529127f4e27002aedf6f913d,38.597,173.043
7f33271c-1569-4840-a04c-8ad769055b74,4b3af7445a7a73329f3e454f8e0902b5816fc68d99843cc8157519e3a32fb2fe,33.209,124.761
1114da92-0859-4dfb-a363-26447dc0f84d,2229350ad56df0c32354b25477c7300e1d9a5bef63300a3ca783a1e2d70d1e84,44.725,132.865
62548191-5d9a-41c7-aae5-5788aec74ee4,dae0fa90c5b3a968c3e051893ed03ca1291da07f1a2598f85056feca44f66540,45.0,156.173
62548191-5d9a-41c7-aae5-5788aec74ee4,0d14c6e4c864eab3ff75d794995e7eb89267305163a1943d79e4613d430447a7,199.735,297.629
0aa8fd0d-019e-422b-bcfb-6f0803909220,5d69159a8ad4c5fbbcfdbc0efc3c70fb875ee087845889ff3ae44280efa860c8,37.504,155.463
0aa8fd0d-019e-422b-bcfb-6f0803909220,4614c2e123612973aa11f237b6f9f57a4fcbf58f9d30a7f1bc8f1bcb9f162bec,32.013,159.804
62548191-5d9a-41c7-aae5-5788aec74ee4,4ab63c4a2f7f273f6c064a99666974d3e247f42037cf4680a57d473e537a0d52,39.704,174.042
c0983ff3-7d72-4887-b98f-c6801a6c466d,dee041941ee60f300c142431c3025548077b0fdbbc58f360befae63e0c96065a,29.25,62.666
0aa8fd0d-019e-422b-bcfb-6f0803909220,6a44d868c3f95d6192ee679b8cf08a719352517c15b0be9f0cfe3331bfc1751a,34.584,156.779
c0983ff3-7d72-4887-b98f-c6801a6c466d,d6b138cfd55fc7122a0ebe29d33be0e8bb9ddbeb908f5bca8a606ee6f62f4ddc,98.599,98.223
0aa8fd0d-019e-422b-bcfb-6f0803909220,bdd5e0b8dd810cc53ea307b4b6fb50549e8d0f9f4002a437fe595b1ef1165cca,35.102,163.507
0aa8fd0d-019e-422b-bcfb-6f0803909220,965a1ac54410d2af3cd18a0d0a14dc71d228438925b21ca0af70bb07ec93602b,35.315,159.753
0aa8fd0d-019e-422b-bcfb-6f0803909220,7502a509993b1c239843e88d089f3e55aceee5a30d0267a2ad0280b53894f305,34.139,154.931
62548191-5d9a-41c7-aae5-5788aec74ee4,a61205791cecb758d99bfcee7fed666146513894d19ad27215ddba48d652385d,37.685,163.174
0aa8fd0d-019e-422b-bcfb-6f0803909220,8aef409ea084f1a0527c87750efe591a1584db3e4241e1c9c9261af1885c631d,33.547,155.553
