short_id,downtime_start_week,error_week,error_code,error_message,error_category,prior_error_week,prior_error_code,prior_error_message,prior_error_category
OD16,2025-03-03,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-03-10,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-03-17,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-03-24,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD17,2023-09-25,2023-09-18,18.0,trocador de calor,Cooling System Issue,2023-09-18,21.0,gotas por volume,Process Issue
OD17,2024-02-12,2024-02-05,21.0,gotas por volume,Process Issue,2024-02-05,39.0,max. heating temp. r,Heating System Issue
OD17,2024-02-19,2024-02-12,39.0,max. heating temp. r,Heating System Issue,2024-02-12,21.0,gotas por volume,Process Issue
OD17,2024-03-04,2024-02-19,21.0,gotas por volume,Process Issue,2024-02-19,39.0,max. heating temp. r,Heating System Issue
OD17,2024-03-11,2024-03-04,34.0,proveta não está vaz,Process Issue,2024-03-04,34.0,proveta não está vaz,Process Issue
OD17,2024-03-18,2024-03-11,29.0,porta,Door Opened,2024-03-11,29.0,porta,Door Opened
OD17,2024-03-25,2024-03-18,33.0,cheque a posição do,Process Issue,2024-03-18,0.0,fogo,Safety Hazard
OD17,2024-04-15,2024-04-01,39.0,max. heating temp. r,Heating System Issue,2024-04-01,39.0,max. heating temp. r,Heating System Issue
OD17,2024-04-22,2024-04-15,26.0,ponto inicial de ebu,Calibration Issue,2024-04-15,26.0,ponto inicial de ebu,Calibration Issue
OD17,2024-04-29,2024-04-22,76.0,no error message,Unknown Issue,2024-04-22,76.0,no error message,Unknown Issue
OD17,2024-05-06,2024-04-29,29.0,porta,Door Opened,2024-04-29,21.0,gotas por volume,Process Issue
OD17,2024-05-13,2024-05-06,30.0,taxa de destilação,Calibration Issue,2024-05-06,21.0,gotas por volume,Process Issue
OD17,2024-05-20,2024-05-13,0.0,fogo,Safety Hazard,2024-05-13,30.0,taxa de destilação,Calibration Issue
OD17,2024-07-15,2024-07-08,0.0,fogo,Safety Hazard,2024-07-08,39.0,max. heating temp. r,Heating System Issue
OD17,2024-07-22,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-07-29,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-08-05,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-08-12,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-08-19,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-08-26,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-09-02,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-09-09,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-09-16,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-09-23,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-09-30,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-10-07,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-10-14,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-10-21,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-10-28,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-11-04,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-11-11,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-11-18,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-11-25,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-12-02,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-12-09,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-12-16,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-12-23,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2024-12-30,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-01-06,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-01-13,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-01-20,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-01-27,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-02-03,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-02-10,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-02-17,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-02-24,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-03-03,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-03-10,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-03-17,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD17,2025-03-24,2024-07-15,26.0,ponto inicial de ebu,Calibration Issue,2024-07-15,30.0,taxa de destilação,Calibration Issue
OD18,2024-01-29,2024-01-22,24.0,follower,Sensor Issue,2024-01-22,40.0,max. heat. temp. rea,Heating System Issue
OD18,2024-02-05,2024-01-29,36.0,calibration is out o,Calibration Issue,2024-01-29,40.0,max. heat. temp. rea,Heating System Issue
OD18,2024-02-12,2024-01-29,36.0,calibration is out o,Calibration Issue,2024-01-29,40.0,max. heat. temp. rea,Heating System Issue
OD18,2024-02-19,2024-01-29,36.0,calibration is out o,Calibration Issue,2024-01-29,40.0,max. heat. temp. rea,Heating System Issue
OD18,2024-02-26,2024-01-29,36.0,calibration is out o,Calibration Issue,2024-01-29,40.0,max. heat. temp. rea,Heating System Issue
OD18,2024-03-04,2024-02-26,77.0,no error message,Unknown Issue,2024-02-26,33.0,check the heating bl,Heating System Issue
OD18,2024-03-11,2024-02-26,77.0,no error message,Unknown Issue,2024-02-26,33.0,check the heating bl,Heating System Issue
OD18,2024-03-18,2024-02-26,77.0,no error message,Unknown Issue,2024-02-26,33.0,check the heating bl,Heating System Issue
OD18,2024-03-25,2024-02-26,77.0,no error message,Unknown Issue,2024-02-26,33.0,check the heating bl,Heating System Issue
OD18,2024-04-15,2024-04-08,21.0,drops per volume,Process Issue,2024-04-08,77.0,no error message,Unknown Issue
OD18,2024-04-22,2024-04-08,21.0,drops per volume,Process Issue,2024-04-08,77.0,no error message,Unknown Issue
OD18,2024-04-29,2024-04-08,21.0,drops per volume,Process Issue,2024-04-08,77.0,no error message,Unknown Issue
OD18,2024-05-06,2024-04-08,21.0,drops per volume,Process Issue,2024-04-08,77.0,no error message,Unknown Issue
OD18,2024-05-13,2024-04-08,21.0,drops per volume,Process Issue,2024-04-08,77.0,no error message,Unknown Issue
OD18,2024-05-20,2024-04-08,21.0,drops per volume,Process Issue,2024-04-08,77.0,no error message,Unknown Issue
OD18,2024-10-14,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-10-21,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-10-28,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-11-04,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-11-11,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
OD18,2024-11-18,2024-07-08,42.0,receiver temperature,Sensor Issue,2024-07-08,77.0,no error message,Unknown Issue
