instrument_id,instrument_type,test_count,error_count,critical_error_count,error_rate,critical_error_rate,short_id,display_id,downtime_hours
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,11436.081944444444
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,1397.2966666666666
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,5747.185555555556
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,11541.319444444445
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,22.913333333333334
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,9939.080555555556
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,6681.003333333333
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,9978.888611111111
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,1176.38
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,13789.79361111111
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,863.1666666666666
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,13056.585833333333
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4433.065277777778
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,11494.379722222222
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4710.587777777778
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4654.239444444444
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,1530.3158333333333
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,7750.265
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,10818.756388888889
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,3143.7869444444445
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,7657.233055555555
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4197.498888888889
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,12142.205555555556
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,744.7616666666667
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,13378.427222222223
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,7258.225555555556
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4318.321388888889
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,8959.075
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4715.404166666666
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4248.294166666667
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,14041.333055555555
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,7176.217777777778
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,8301.653333333334
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,9197.296388888888
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,6986.826388888889
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,14037.668333333333
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,17213.843055555557
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,1989.9725
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,3661.2969444444443
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,572.7569444444445
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4700.712222222222
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,2375.8869444444445
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,16006.051111111112
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,11463.009166666667
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4493.105277777778
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4216.064722222222
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,14934.448333333334
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,2900.2697222222223
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4719.977222222222
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,11436.081944444444
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,1397.2966666666666
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,5747.185555555556
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,11541.319444444445
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,22.913333333333334
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,9939.080555555556
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,6681.003333333333
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,9978.888611111111
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,1176.38
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,13789.79361111111
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,863.1666666666666
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,13056.585833333333
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4433.065277777778
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,11494.379722222222
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4710.587777777778
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4654.239444444444
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,1530.3158333333333
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,7750.265
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,10818.756388888889
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,3143.7869444444445
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,7657.233055555555
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4197.498888888889
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,12142.205555555556
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,744.7616666666667
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,13378.427222222223
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,7258.225555555556
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4318.321388888889
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,8959.075
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4715.404166666666
nan,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04,OF04,4248.294166666667
