product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_t50,std_t50,avg_test_duration,std_test_duration
178643-9aaaa,40.277,0.0,145.613,0.0,74.26266666666668,0.0023094010767510695,33.516666666666666,0.0
178706-12,27.778000000000002,0.0,77.345,0.0,48.891999999999996,0.0017320508075684303,67.78333333333333,0.0
178738-1aaaaa,153.784,0.0,294.254,0.0,206.804,0.0034641016151337836,43.04999999999999,0.0
178753-8qqqqq,27.147000000000002,0.0,85.41699999999999,0.0,48.86266666666666,0.0023094010767567104,32.81666666666667,0.0
178761-6qqqq,190.547,0.0,316.413,0.0,260.64466666666664,0.004041451884322064,41.06666666666667,0.0
178915-11aaaaaa',28.229,,100.452,,51.829,,35.71666666666667,
178915-18a,27.863,0.0,76.345,0.0,48.5932,0.0017888543819983107,34.46666666666667,0.0
178919-3bkkp,36.153,0.0,141.72,0.0,76.47133333333333,0.0011547005383786115,33.85,0.0
178931-6PPO,34.977,0.0,156.483,0.0,93.71533333333333,0.004618802153522651,31.866666666666664,0.0
178948-111,27.094,,40.599,,41.337,,35.05,
178960-17aaa24,221.21,0.0,343.22700000000003,0.0,289.418,0.0,39.25,0.0
178974-6a,27.59,,100.968,,48.131,,33.75,
178980-14,27.902,0.0,76.97,0.0,48.87199999999999,0.0017320508075699685,32.583333333333336,0.0
179012-25a,51.716,0.0,152.034,0.0,95.516,0.0,36.6,0.0
179015-6a,39.377,,128.022,,86.556,,35.7,
179049=19qqqqq',28.042999999999996,0.0,104.789,0.0,48.85,0.0,34.7,0.0
179053-3ttttt;,31.828999999999997,0.0,158.54,0.0,85.657,0.0,32.56666666666667,0.0
1790640-4uuuu-,34.879,0.0,156.482,0.0,66.48,0.0,33.65,0.0
179081-8aaaa3,27.964,0.0,96.69599999999998,0.0,47.522,0.0,32.4,0.0
179100-4a,36.648,0.0,104.40500000000002,0.0,70.302,0.0,35.96666666666667,0.0
179109-21kjf,35.762,0.0,151.02,0.0,67.46225,0.001500000000001241,36.05,0.0
179169-21 optimze,29.137,0.051314158447185926,88.752,14.549702009712384,47.8545,0.478674956819043,34.69166666666666,0.953231762820984
179271-25qqqq3,39.665,0.0,142.087,0.0,84.27199999999999,0.002309401076759958,36.3,0.0
179306-49,34.171,1.1337856940356947,149.806,6.512421208736436,98.712,6.056351178721389,35.8,1.241504463678376
179317-6dddds,27.448,0.0,87.217,0.0,45.872,0.0023094010767613256,32.21666666666667,0.0
179325-4eeeeer,27.9,0.0,75.651,0.0,48.883,0.0034641016151378858,35.46666666666667,0.0
179328-6tttrf,33.557,0.0,120.862,0.0,64.162,0.002309401076759958,37.15,0.0
179362-1tfgvb,25.215,0.0,39.145,0.0,38.7705,0.0005773502691889639,36.0,0.0
179368-2,31.514,0.0,161.584,0.0,110.893,0.0034641016151378858,36.0,0.0
179374-2111,30.527,0.0,99.853,0.0,53.17525,0.003499999999999935,32.016666666666666,0.0
