merged_product,avg_ibp,avg_fbp,avg_t50
182335-8 jgg,44.563,154.884,91.86
182351-9 AN,25.9885,140.438,82.31725
182377-10rrryy,40.325,121.576,83.473
182386-10,27.102,74.016,47.4015
182387-10,26.3,81.821,50.24333333333333
182424-8,29.155,47.093,44.72533333333333
182425-9,26.118,144.164,66.83449999999999
182429-112qqqq,28.909,129.849,83.73
182430-7 ks,27.765,147.714,66.5835
182464-14,30.067,164.201,79.488
182464-15,31.62,126.922,87.139
182464-20,30.456,161.856,79.161
182534-8,38.738,167.449,95.204
182690-1a,27.486,44.451,42.116
182786-3B,17.948,138.515,87.348
182872-7loloo,41.597,117.519,79.126
182976-88,41.888,44.83,54.689
183005-11,26.553,72.378,46.569
183096-23,43.446,127.79,85.594
183112-8rrttty,25.368,149.695,66.237
183115-19,24.345,83.023,50.321
183159-7,27.201,43.042,41.743
183215-12opt,23.126,161.201,67.618
183322-38 ez,40.877,137.072,84.985
183323°5LOLLL%,33.588,138.398,80.207
183451°14QSQS,32.433,161.977,107.524
183506-1,27.066,42.137,41.517
183535-14,28.224,146.848,67.483
183542-6qqqwwee,25.515,150.922,100.71
183696-45b ez,35.726,123.416,80.673
183708-5,50.615,55.26,63.13
183732-9,27.095,73.932,46.751
183767-6,24.552333333333333,90.19333333333331,51.198
184016-10 ez,20.006,157.22,95.696
184016-11bbbb,22.004,152.708,78.558
184016-8 10%opt,22.82,160.555,69.318
184016-9 opt,24.886,159.944,80.043
184138_82,33.283,127.29,81.243
184174-4,38.825,132.412,75.454
184174-85,41.09,131.24,85.973
184183-144,43.224,45.032,55.124
184247-7GGG,24.395,149.852,66.608
184271-24,26.79,73.432,47.521
184324-15 ez,26.205,160.267,67.682
184365-3,61.343,149.65,122.103
184418-2 opppppp,27.486,76.499,47.13
184477-3,34.654,163.996,112.397
184530-6GGG,21.612,164.206,92.833
184574-6,55.06,139.785,111.821
184579-53A,36.491,146.674,88.251
184579-83 ez,37.338,138.624,90.37
184579-86AAA,33.729,142.459,92.918
184580-6,23.923,150.971,90.099
184613-7,33.947,151.721,77.383
184678-2,26.019,152.701,64.697
184719-14 ez,24.789,145.373,65.863
184845-18 ez,27.053,151.885,80.989
184853-1 ez,28.448,48.546,44.006
184863-1 ez,29.946,126.585,82.99
184905-6,60.79,169.383,81.399
185000-1,26.742,69.831,46.191
185120-10a,26.605,75.009,46.093
185425-9a,29.457,152.641,66.773
185427-2a,55.674,132.212,94.53514285714286
