product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_test_duration,std_test_duration
184579-86AAA,33.729,,142.459,,33.3,
184580-6,23.923,,150.971,,34.81666666666667,
184613-7,33.947,,151.721,,36.8,
184678-2,26.019,,152.701,,35.9,
184680-007,29.811,,30.856,,14.733333333333333,
184719-14 ez,24.789,,145.373,,35.43333333333333,
184845-18 ez,27.053,,151.885,,35.06666666666667,
184853-1 ez,28.448,,48.546,,33.083333333333336,
184863-1 ez,29.946,,126.585,,38.05,
184905-6,60.79,,169.383,,38.03333333333333,
185000-1,26.742,,69.831,,35.7,
185120-10a,26.605,,75.009,,37.25,
185425-9a,29.457,0.0,152.641,0.0,34.35,0.0
185427-2a,55.674,0.0,132.212,0.0,34.63333333333333,0.0
185461-13 ez,35.915,0.0,150.744,0.0,35.75,0.0
185465-6a,27.158,0.0,160.094,0.0,32.5,0.0
185498-22a,24.265,,155.715,,33.38333333333333,
1855-1 OPT,27.356,,149.356,,33.21666666666667,
185590-10GG,71.836,,124.406,,28.98333333333333,
185599-1a,25.345,,155.084,,34.0,
185642-8a,26.86,0.0,155.679,0.0,35.45,0.0
185725-7 ez,26.895,,71.796,,35.31666666666667,
185745-6bj,28.262,0.0,63.69100000000001,0.0,35.61666666666667,0.0
185834-6,25.256,,69.709,,34.21666666666667,
185900-2aa,30.756,,163.921,,33.35,
185914-5aa,31.265,,153.655,,34.6,
185929-1222,30.442,,162.977,,33.0,
185947-2aa,23.878,,101.559,,34.1,
186064-22,32.861,,126.754,,34.53333333333333,
186217-6 ez,41.202,,44.319,,36.45,
186256-21a,26.698,,160.43,,31.23333333333333,
1864-1a,22.689,0.0,148.644,0.0,33.06666666666667,0.0
186422-9 ez,27.4,,69.331,,34.11666666666667,
186479-22 ez,28.194,0.0,157.788,0.0,34.21666666666667,0.0
186492-1opt,29.449,,47.138,,32.733333333333334,
186610-6 10% ez,26.34,0.0,140.252,0.0,36.05,0.0
186622-13 ez,36.914,0.0,176.76200000000003,0.0,36.81666666666667,0.0
186893-1kls,31.189,0.0,152.004,0.0,41.7,0.0
1869-1,43.1,,157.161,,37.4,
186907-1GGG,43.202,,297.264,,33.45,
186929_1A,25.875,0.0,38.074,0.0,33.483333333333334,0.0
186954-8 ez,34.119,,131.172,,34.266666666666666,
187048.3B,37.223,,106.676,,35.266666666666666,
1873-1BAGELS,36.21,,161.405,,35.483333333333334,
188078-4lol,38.086,,109.353,,34.45,
188090-13 ez,28.332,,81.808,,32.85,
188573-8x,38.637,,144.845,,34.21666666666667,
188651-9CCC,42.916,,144.912,,34.78333333333333,
188880-75opttt,31.875,,138.639,,34.36666666666667,
1891611-44,25.479,,37.722,,34.7,
189261-7optt,27.643,,72.529,,35.766666666666666,
189268-3optt,55.979,,51.935,,9.933333333333334,
189335-4a,33.723,,137.009,,34.2,
189335-75x,35.32,,136.144,,36.91666666666666,
189390-1x,26.986,,69.392,,34.266666666666666,
189411-1GGG,41.746,,303.294,,32.916666666666664,
189446-11qwqw,26.957,,71.251,,33.93333333333333,
189480-2 ez,35.475,,122.968,,37.28333333333333,
189497-722,37.117,,132.886,,33.166666666666664,
189519-288,26.832,,64.284,,34.233333333333334,
189524-15a,26.118,,49.313,,36.083333333333336,
189524-9a,26.029,,49.003,,35.583333333333336,
189533-6x,43.046,,45.393,,36.61666666666667,
189545-13b,27.192,,74.575,,32.9,
189545-33 ez,27.338,,77.694,,35.483333333333334,
189557-4opt<,41.641,,109.795,,36.65,
189564-6a,35.857,,142.102,,36.31666666666667,
189566-1x,25.82,,40.539,,35.86666666666667,
189571-1OPTT,27.312,,60.036,,32.3,
189706-6xzxxzz,158.488,,228.934,,39.35,
189777-22,24.634,,35.463,,35.233333333333334,
189778-6a,26.293,,43.319,,37.016666666666666,
189812-7a,43.337,,154.272,,34.1,
189814-61x,34.188,,134.741,,32.86666666666667,
189872-6a,32.56,,141.571,,35.666666666666664,
189883-6opty,55.694,,130.194,,35.9,
189914-12optee,36.12,,155.205,,34.6,
190043-8a,27.146,,73.022,,34.53333333333333,
190092-29 compoptt,37.853,,135.378,,35.11666666666667,
190135-27optx,50.568,,108.37,,35.9,
190154-20x,51.068,,132.24,,37.5,
190170-100x,37.696,,131.611,,34.18333333333333,
190280-8x,27.964,,69.718,,39.25,
190296-8a,36.23,,122.396,,36.36666666666667,
190318.11X,50.281,,144.258,,34.43333333333333,
190406-11opyy,32.835,,83.886,,33.833333333333336,
190425-27x,36.475,,132.352,,37.0,
190425-52 jb hb mtbe,42.808,,45.515,,34.666666666666664,
190447-10opptt,29.543,,81.652,,35.1,
190557-13  ez,31.805,,150.343,,67.43333333333334,
190557-26 ez,33.236,,147.642,,34.21666666666667,
190557-5X,36.391,,158.931,,35.03333333333333,
190606-4x,28.407,,79.373,,35.61666666666667,
190613-2 jbva,44.7,,157.753,,36.21666666666667,
190645-52zzz,38.376,,126.385,,34.666666666666664,
190691-26 ez,27.855,,77.848,,32.7,
190694-12a,36.09,,139.297,,33.166666666666664,
190708-6a10,36.032,,144.981,,35.18333333333333,
190714-13optx,37.554,,173.438,,36.2,
190723-3 ez,37.123,,109.34,,35.3,
190751-6 ez,35.967,,155.455,,33.666666666666664,
190770-6 jba,55.481,,78.422,,37.53333333333333,
190779-2xxx,35.179,,127.501,,36.23333333333333,
190836-6zzz,30.2,,86.923,,33.53333333333333,
190844-199,32.29,,99.306,,32.666666666666664,
190878-16x,33.788,,125.816,,35.266666666666666,
190878-366,34.337,,126.872,,37.38333333333333,
190884-6 ez,38.462,,155.782,,35.93333333333333,
190934-66,35.024,,150.928,,34.85,
190993-11zzz,28.171,,76.886,,32.4,
191097-6 spkqqq,36.768,,144.386,,35.06666666666667,
191102-6 opjb,46.941,,167.277,,34.166666666666664,
191120-3ppp,34.437,,118.272,,35.4,
191182-19ppp,57.616,,87.019,,36.28333333333333,
191194-3x,42.286,,106.363,,35.61666666666667,
19119511DDD,52.999,,156.192,,37.73333333333333,
191216-196optwww,27.793,,77.724,,36.0,
191230-6 oppjb,41.842,,44.453,,38.36666666666667,
191237-29 ez,35.143,,136.266,,36.81666666666667,
191237-29zzz,35.145,,148.031,,37.333333333333336,
191258-26a,31.091,,93.687,,37.43333333333333,
191283-15x,35.546,,137.485,,34.86666666666667,
191286-76a,33.639,,133.248,,35.9,
191304-12A,149.788,,156.224,,37.35,
191322-17x,27.5,,74.524,,34.3,
191331-13 opppp,27.93,,79.211,,33.5,
191332-6x,34.574,,131.082,,33.46666666666667,
191353-26A,31.67,,119.885,,36.36666666666667,
191357-12a,45.794,,130.111,,35.85,
191393-6optz,35.25,,103.743,,32.9,
191403-6 ez,26.718,,65.315,,34.71666666666667,
191408-1x,37.412,,109.049,,35.0,
191467-17OPTTTT,27.71,,81.779,,36.21666666666667,
191504-11A,52.975,,130.86,,36.43333333333333,
191506-77,27.044,,79.99,,38.55,
191508-41optt,34.707,,129.093,,36.6,
191541-9optttttt,39.185,0.14424978336205363,111.77199999999999,1.0974297244015314,36.608333333333334,1.1902964149973576
191548-6OPTTTT,35.776,,135.033,,35.333333333333336,
191549-32 ez,34.5185,0.3641599923110724,150.999,9.755245153249604,35.233333333333334,1.3435028842544368
191557-25 deeeeeeee,49.27,,155.941,,36.78333333333333,
191579-49CCC,114.898,0.0,134.382,0.0,39.81666666666667,0.0
191595-19b oopp,42.878,,44.496,,40.4,
191620-33rrr,35.711,,138.862,,35.233333333333334,
191656-7 ez,35.87,,138.661,,35.916666666666664,
191711-19,27.759,,77.363,,33.333333333333336,
191712-17 opppp,37.012,,102.575,,34.38333333333333,
191732-6 oppppp,35.834,,127.251,,33.38333333333333,
191738-20 opppp,35.111,,137.159,,32.266666666666666,
191743-9 ez,52.245,,113.27,,36.833333333333336,
191760-6 ez,31.686,,78.677,,35.71666666666667,
191760-7HB,35.481,,150.204,,35.516666666666666,
191764-6otyppp,28.178,,84.591,,33.35,
191767-2A,34.526,,137.329,,34.45,
191768-6optt,72.616,,141.899,,38.31666666666667,
191769-18 oppppp,42.184,,44.588,,35.25,
191785-12 opppppp,38.399,,145.502,,35.733333333333334,
191829-122,28.293,,87.836,,30.066666666666663,
191839-1aaa,42.245,,111.827,,36.7,
191851-1aa,38.461,,169.134,,34.083333333333336,
191878-16AA,34.68,,132.762,,36.03333333333333,
191883-7 oppppppp,42.4475,0.023334523779156954,44.6305,0.1322289680818827,35.775,0.6717514421272222
191889-7x,59.977,,86.291,,35.06666666666667,
191901-37 opppt,34.96,,136.413,,37.41666666666666,
191928-6AAA,32.585,,151.924,,48.41666666666666,
191937_14ABC,32.588,,139.603,,34.8,
191947-18 opppppp,28.586,,76.41,,34.88333333333333,
191953-71AAA,188.801,,341.973,,38.56666666666667,
191974-6 so,35.495,,142.6,,33.71666666666667,
191978-22 ez,36.171,,145.716,,34.166666666666664,
191979-16opywww,32.059,,128.532,,32.75,
191979-23 ez,38.638,,127.963,,34.36666666666667,
192039-12so,35.435,,136.264,,34.3,
192057-2 opppppp,35.182,,119.104,,35.1,
192103-6so,36.068,,133.842,,36.56666666666667,
192117-200,42.975,,158.636,,37.53333333333333,
192158-26x,34.573,,124.339,,33.75,
192178-2x,27.487,,167.207,,37.06666666666667,
192183_111A,35.051,,125.721,,33.65,
192193-3 ez,34.246,,137.159,,35.583333333333336,
192208-6,27.837,,75.825,,32.18333333333333,
192211-6,37.222,,147.571,,33.05,
192216-7leo,27.566,,75.62,,34.18333333333333,
192217-12x,27.421,,79.78,,32.55,
192217-6AAA,27.075,,79.056,,31.98333333333333,
192219-9optrrrrr,33.9,,131.446,,35.15,
192232-20 oppppp,33.607,,148.251,,34.516666666666666,
192234-38 oppppp,42.708,,122.045,,36.56666666666667,
192246-6AA,35.977,,149.764,,34.333333333333336,
192264-24AA,35.162,,130.831,,34.28333333333333,
192309-5opttttt,31.244,,58.879,,33.75,
192315+7 EZ,54.403,,132.155,,33.96666666666667,
192328-77,33.914,,140.459,,36.41666666666666,
192329-9,28.246,,78.723,,32.18333333333333,
192379-15BBB,34.589,,148.317,,36.41666666666666,
192379-9A,35.923,,142.95,,35.18333333333333,
192380-13optttt,37.719,6.208397538817888,78.6885,62.036599233839375,21.65,16.475588001646557
192383-88AAAAA,36.171,,131.511,,37.73333333333333,
192383-88X,36.084,,133.388,,35.333333333333336,
192385-15otttt,37.977,,142.415,,36.516666666666666,
