short_id,instrument_id,week,test_count,error_count,critical_error_count,error_rate,critical_error_rate,downtime_hours
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-09-02,79,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-09-09,72,2,1,0.0277777777777777,0.0138888888888888,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-09-16,67,2,1,0.0298507462686567,0.0149253731343283,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-09-23,64,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-09-30,79,4,0,0.050632911392405,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-10-07,100,17,9,0.17,0.09,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-10-14,70,2,0,0.0285714285714285,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-10-21,76,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-10-28,69,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-11-04,84,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-11-11,70,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-11-18,63,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-11-25,70,3,0,0.0428571428571428,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-12-02,64,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-12-09,62,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-12-16,60,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-12-23,61,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-12-30,54,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2025-01-06,55,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2025-01-13,64,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2025-01-20,60,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2025-01-27,9,0,0,0.0,0.0,170.0
,1acf7c8e-561e-4d91-a35d-9182cd38a043,2024-04-29,2,1,0,0.5,0.0,170.0
OF03,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,2023-05-01,19,2,0,0.1052631578947368,0.0,170.0
