short_id,week,instrument_id,test_count_x,error_count_x,critical_error_count_x,error_rate,critical_error_rate,downtime_hours,test_count_y,error_count_y,critical_error_count_y,test_count,error_count,critical_error_count
CPP02,2024-10-07,40099742-8937-46e4-9d96-9ea230115e6b,53.0,0.0,0.0,,,160.0186111111111,,,,0,0,0
CPP02,2024-10-14,40099742-8937-46e4-9d96-9ea230115e6b,50.0,0.0,0.0,,,161.0211111111111,,,,0,0,0
CPP02,2024-10-21,40099742-8937-46e4-9d96-9ea230115e6b,73.0,1.0,1.0,,,158.50694444444446,1.0,,1.0,0,0,0
CPP02,2024-10-28,40099742-8937-46e4-9d96-9ea230115e6b,34.0,0.0,0.0,,,41.83305555555555,,,,0,0,0
CPP03,2024-04-01,440b6470-efce-479e-be17-8d0f6792e339,0.0,1.0,1.0,,,170.0,1.0,,1.0,0,0,0
CPP03,2024-04-08,440b6470-efce-479e-be17-8d0f6792e339,1.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-04-15,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-04-22,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-04-29,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-05-06,440b6470-efce-479e-be17-8d0f6792e339,29.0,1.0,1.0,,,71.51861111111111,1.0,,1.0,0,0,0
CPP03,2024-05-13,440b6470-efce-479e-be17-8d0f6792e339,50.0,1.0,1.0,,,159.90027777777777,1.0,,1.0,0,0,0
CPP03,2024-05-20,440b6470-efce-479e-be17-8d0f6792e339,34.0,0.0,0.0,,,139.88861111111112,,,,0,0,0
CPP03,2024-05-27,440b6470-efce-479e-be17-8d0f6792e339,11.0,0.0,0.0,,,36.81527777777778,,,,0,0,0
CPP03,2024-06-03,440b6470-efce-479e-be17-8d0f6792e339,57.0,0.0,0.0,,,162.66944444444445,,,,0,0,0
CPP03,2024-06-10,440b6470-efce-479e-be17-8d0f6792e339,56.0,0.0,0.0,,,158.39638888888888,,,,0,0,0
CPP03,2024-06-17,440b6470-efce-479e-be17-8d0f6792e339,57.0,0.0,0.0,,,166.0661111111111,,,,0,0,0
CPP03,2024-06-24,440b6470-efce-479e-be17-8d0f6792e339,13.0,0.0,0.0,,,29.07138888888889,,,,0,0,0
CPP03,2024-07-01,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-07-08,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-07-15,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-07-22,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-07-29,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-08-05,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-08-12,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-08-19,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-08-26,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP03,2024-09-02,,0.0,0.0,0.0,,,170.0,,,,0,0,0
