product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_test_duration,std_test_duration,category
179328-6tttrf,33.557,0.0,120.862,0.0,37.15,0.0,Light Naphtha
179362-1tfgvb,25.215,0.0,39.145,0.0,36.0,0.0,Unknown/Needs Review
179368-2,31.514,0.0,161.584,0.0,36.0,0.0,Reformulated Gasoline
179374-2111,30.527,0.0,99.853,0.0,32.016666666666666,0.0,Light Naphtha
179398-27werdry,41.772,0.0,44.505,0.0,36.2,0.0,Light Naphtha
179398-2ertret,39.9,0.0,123.801,0.0,36.36666666666667,0.0,Light Naphtha
179398_16BBB,40.617,0.0,146.682,0.0,35.06666666666667,0.0,Light Naphtha
179412-19,37.197,0.0,163.258,0.0,33.86666666666667,0.0,Reformulated Gasoline
179526-17ggggsfhc,33.787,0.0,127.699,0.0,70.06666666666666,0.0,Light Naphtha
179541-1qQQE,26.301,0.0,38.008,0.0,34.083333333333336,0.0,Unknown/Needs Review
179552-3a,25.176,0.0,126.057,0.0,32.016666666666666,0.0,Unknown/Needs Review
179562-6a,190.418,0.0,317.256,0.0,42.96666666666667,0.0,Diesel
179934-9a,27.996,0.0,45.607,0.0,33.95,0.0,Unknown/Needs Review
179936-6 ez,28.883,0.0,111.634,0.0,33.666666666666664,0.0,Unknown/Needs Review
179963-11 ez,27.124,0.0,82.621,0.0,32.6,0.0,Unknown/Needs Review
179972-17ttstfg,26.891,0.0,79.033,0.0,34.18333333333333,0.0,Unknown/Needs Review
179974°8GUKHJ,29.348,0.0,109.671,0.0,27.566666666666663,0.0,Unknown/Needs Review
179974°8JILK,28.422,0.0,99.839,0.0,32.36666666666667,0.0,Unknown/Needs Review
180006°4AAAA,32.489,0.0,176.689,0.0,35.516666666666666,0.0,Reformulated Gasoline
180083-14qqqqq,31.936,0.0,72.384,0.0,35.06666666666667,0.0,Light Naphtha
180095_2A,99.017,0.0,121.212,0.0,38.71666666666667,0.0,Unknown/Needs Review
180096_1BAGELS,34.632,0.0,185.669,0.0,31.53333333333333,0.0,Reformulated Gasoline
180129-4a,90.082,0.0,150.989,0.0,78.76666666666667,0.0,Unknown/Needs Review
180131-1spkopt,29.008,0.0,139.134,0.0,34.95,0.0,Unknown/Needs Review
180167-11,27.217,0.0,79.007,0.0,35.766666666666666,0.0,Unknown/Needs Review
180190-7wwwwweee,34.431,0.0,156.855,0.0,34.28333333333333,0.0,Light Naphtha
180210-14,32.013,0.0,59.045,0.0,36.63333333333333,0.0,Light Naphtha
180210-22 ez,31.673,0.0,60.64000000000001,0.0,34.95,0.0,Light Naphtha
180309-12,41.272,0.0,44.237,0.0,36.833333333333336,0.0,Light Naphtha
180313-6 ez,215.986,0.0,338.982,0.0,38.25,0.0,Diesel
180349--1qqqstu,139.07,0.0,283.689,0.0,24.433333333333334,0.0,Unknown/Needs Review
180378-148GGG,33.891,,137.734,,36.083333333333336,,Light Naphtha
180444-19,33.672,0.0,79.445,0.0,35.083333333333336,0.0,Light Naphtha
180444-25,32.98,0.0,70.717,0.0,36.16666666666666,0.0,Light Naphtha
180469-10tyutyt,35.364,0.0,121.359,0.0,30.416666666666668,0.0,Light Naphtha
180525-25tttt,31.346,0.0,172.508,0.0,37.13333333333333,0.0,Reformulated Gasoline
180608-3QQQQQQQQ,34.042,0.0,148.123,0.0,34.233333333333334,0.0,Light Naphtha
180638-14rrrrrrrr,32.207,0.0,136.708,0.0,34.18333333333333,0.0,Light Naphtha
180640-777,33.075,0.0,144.722,0.0,33.71666666666667,0.0,Light Naphtha
180690-26ttttt,30.115,0.0,87.234,0.0,34.78333333333333,0.0,Light Naphtha
180702-6spksssss,33.498,0.0,151.168,0.0,34.666666666666664,0.0,Light Naphtha
180769-14jjjjj,28.321,0.0,75.339,0.0,35.28333333333333,0.0,Unknown/Needs Review
180769-26rrrrrrpp,29.209,0.0,80.023,0.0,35.7,0.0,Unknown/Needs Review
180806-44,35.567,0.0,123.921,0.0,37.46666666666667,0.0,Light Naphtha
180872-55,35.791,0.0,165.233,0.0,33.06666666666667,0.0,Reformulated Gasoline
180901-8eeeeer,33.465,0.0,127.944,0.0,35.166666666666664,0.0,Light Naphtha
180c [350f] cut,65.243,,112.768,,9.25,,Light Naphtha
181020-10,27.234,0.0,74.313,0.0,39.45,0.0,Unknown/Needs Review
181038-7&&,31.479,0.0,164.009,0.0,33.65,0.0,Reformulated Gasoline
181048-10 ez,27.225,0.0,82.783,0.0,34.95,0.0,Unknown/Needs Review
181096-31GGG,58.646,0.0,184.596,0.0,36.03333333333333,0.0,Reformulated Gasoline
181241-13,26.929,0.0,71.679,0.0,37.1,0.0,Unknown/Needs Review
181241-32,27.672,0.0,81.928,0.0,34.733333333333334,0.0,Unknown/Needs Review
181250-44,29.974,2.767094360516099,141.1625,10.486148363436406,32.541666666666664,0.0273861278752596,Unknown/Needs Review
181260-31 ez,28.763,0.0,68.6,0.0,34.68333333333333,0.0,Unknown/Needs Review
181287-8 ez,33.016,0.0,127.942,0.0,34.45,0.0,Light Naphtha
181294-27 ez,27.814000000000004,0.0,145.182,0.0,35.31666666666667,0.0,Unknown/Needs Review
181307-1,28.19,0.0,73.904,0.0,36.0,0.0,Unknown/Needs Review
181478-4wweerr,30.383,0.0,101.57800000000002,0.0,35.11666666666667,0.0,Light Naphtha
181599-38b,27.34,0.0,144.261,0.0,35.46666666666667,0.0,Unknown/Needs Review
181626-25GGG,32.498,0.0,143.768,0.0,33.25,0.0,Light Naphtha
181647-14444444cc,27.942,0.0,154.299,0.0,34.9,0.0,Unknown/Needs Review
181652-11,28.194,0.0,44.519,0.0,35.61666666666667,0.0,Unknown/Needs Review
181660-88,28.404,0.0,149.807,0.0,32.85,0.0,Unknown/Needs Review
181693-6gtttgyu,34.652,0.0,132.737,0.0,35.3,0.0,Light Naphtha
181720-47A,41.787,0.0,139.009,0.0,36.35,0.0,Light Naphtha
181720-61b,42.139,0.0,140.603,0.0,35.5,0.0,Light Naphtha
181765-14,26.123,0.0,76.433,0.0,33.766666666666666,0.0,Unknown/Needs Review
181781-5 ez,26.284,0.0,155.556,0.0,33.88333333333333,0.0,Unknown/Needs Review
181852-36 ez,33.881,0.0,120.703,0.0,35.583333333333336,0.0,Light Naphtha
181928-32uuiiiui,24.152,,174.299,,72.08333333333333,,Unknown/Needs Review
181954-1yyyyiio,30.902,,126.397,,36.4,,Light Naphtha
182024=21tttyyuu,25.134,,148.631,,35.55,,Unknown/Needs Review
182043-2peener,32.507,,164.478,,29.03333333333333,,Reformulated Gasoline
182077-18rrttr,26.832,,78.976,,33.06666666666667,,Unknown/Needs Review
182235-13xxx,28.728,,80.239,,33.2,,Unknown/Needs Review
182245-5hjhjhj,66.84,,282.572,,29.73333333333333,,Unknown/Needs Review
182281-18,27.228,,74.046,,33.583333333333336,,Unknown/Needs Review
182335-399,38.178,0.0,154.25,0.0,36.56666666666667,0.0,Light Naphtha
182335-8 jgg,44.563,,154.884,,36.9,,Light Naphtha
182351-9 AN,25.9885,0.5536789081528516,140.438,13.042342580993653,34.166666666666664,1.000740466595352,Unknown/Needs Review
182377-10rrryy,40.325,0.0,121.576,0.0,35.03333333333333,0.0,Light Naphtha
182386-10,27.102,0.0,74.016,0.0,34.63333333333333,0.0,Unknown/Needs Review
182387-10,26.3,0.0,81.821,0.0,34.5,0.0,Unknown/Needs Review
182424-8,29.155,0.0,47.093,0.0,34.516666666666666,0.0,Unknown/Needs Review
182425-9,26.118,0.0,144.164,0.0,33.43333333333333,0.0,Unknown/Needs Review
182429-112qqqq,28.909,0.0,129.849,0.0,35.93333333333333,0.0,Unknown/Needs Review
182430-7 ks,27.765,0.0,147.714,0.0,34.13333333333333,0.0,Unknown/Needs Review
182464-14,30.067,,164.201,,36.3,,Reformulated Gasoline
182464-15,31.62,,126.922,,34.25,,Light Naphtha
182464-20,30.456,,161.856,,37.85,,Reformulated Gasoline
182534-8,38.738,,167.449,,36.7,,Reformulated Gasoline
182690-1a,27.486,,44.451,,35.583333333333336,,Unknown/Needs Review
182786-3B,17.948,,138.515,,34.68333333333333,,Unknown/Needs Review
182872-7loloo,41.597,,117.519,,34.55,,Light Naphtha
182976-88,41.888,,44.83,,36.5,,Light Naphtha
183005-11,26.553,,72.378,,36.05,,Unknown/Needs Review
183096-23,43.446,,127.79,,34.65,,Light Naphtha
183112-8rrttty,25.368,,149.695,,31.966666666666665,,Unknown/Needs Review
183115-19,24.345,,83.023,,36.18333333333333,,Unknown/Needs Review
183159-7,27.201,,43.042,,35.31666666666667,,Unknown/Needs Review
183215-12opt,23.126,,161.201,,31.83333333333333,,Unknown/Needs Review
183322-38 ez,40.877,,137.072,,34.516666666666666,,Light Naphtha
183323°5LOLLL%,33.588,,138.398,,34.983333333333334,,Light Naphtha
183451°14QSQS,32.433,,161.977,,34.28333333333333,,Reformulated Gasoline
183506-1,27.066,,42.137,,36.3,,Unknown/Needs Review
183535-14,28.224,,146.848,,35.25,,Unknown/Needs Review
183542-6qqqwwee,25.515,,150.922,,33.583333333333336,,Unknown/Needs Review
183696-45b ez,35.726,,123.416,,35.583333333333336,,Light Naphtha
183708-5,50.615,,55.26,,35.13333333333333,,Light Naphtha
183732-9,27.095,,73.932,,36.53333333333333,,Unknown/Needs Review
183767-6,24.552333333333333,1.222383873148422,90.19333333333331,57.595454736752735,33.82222222222222,1.4166013056817566,Unknown/Needs Review
184016-10 ez,20.006,,157.22,,33.65,,Unknown/Needs Review
184016-11bbbb,22.004,,152.708,,34.63333333333333,,Unknown/Needs Review
184016-8 10%opt,22.82,,160.555,,34.36666666666667,,Unknown/Needs Review
184016-9 opt,24.886,,159.944,,32.85,,Unknown/Needs Review
184138_82,33.283,,127.29,,35.13333333333333,,Light Naphtha
184174-4,38.825,,132.412,,71.08333333333333,,Light Naphtha
184174-85,41.09,,131.24,,36.15,,Light Naphtha
184183-144,43.224,,45.032,,35.5,,Light Naphtha
184247-7GGG,24.395,,149.852,,33.7,,Unknown/Needs Review
184271-24,26.79,,73.432,,34.93333333333333,,Unknown/Needs Review
184324-15 ez,26.205,,160.267,,34.28333333333333,,Unknown/Needs Review
184365-3,47.349,19.7905045918491,91.4515,82.30510800977058,21.6,21.02464162728001,Light Naphtha
184418-2 opppppp,27.486,,76.499,,32.766666666666666,,Unknown/Needs Review
184477-3,34.654,,163.996,,34.86666666666667,,Reformulated Gasoline
184530-6GGG,21.612,,164.206,,33.05,,Unknown/Needs Review
184574-6,55.06,,139.785,,35.86666666666667,,Light Naphtha
184579-53A,36.491,,146.674,,33.78333333333333,,Light Naphtha
184579-83 ez,37.338,,138.624,,33.666666666666664,,Light Naphtha
184579-86AAA,33.729,,142.459,,33.3,,Light Naphtha
184580-6,23.923,,150.971,,34.81666666666667,,Unknown/Needs Review
184613-7,33.947,,151.721,,36.8,,Light Naphtha
184678-2,26.019,,152.701,,35.9,,Unknown/Needs Review
184680-007,29.811,,30.856,,14.733333333333333,,Unknown/Needs Review
184719-14 ez,24.789,,145.373,,35.43333333333333,,Unknown/Needs Review
184845-18 ez,27.053,,151.885,,35.06666666666667,,Unknown/Needs Review
184853-1 ez,28.448,,48.546,,33.083333333333336,,Unknown/Needs Review
184863-1 ez,29.946,,126.585,,38.05,,Unknown/Needs Review
184905-6,60.79,,169.383,,38.03333333333333,,Reformulated Gasoline
185000-1,26.742,,69.831,,35.7,,Unknown/Needs Review
185120-10a,26.605,,75.009,,37.25,,Unknown/Needs Review
185425-9a,29.457,0.0,152.641,0.0,34.35,0.0,Unknown/Needs Review
185427-2a,55.674,0.0,132.212,0.0,34.63333333333333,0.0,Light Naphtha
185461-13 ez,35.915,0.0,150.744,0.0,35.75,0.0,Light Naphtha
185465-6a,27.158,0.0,160.094,0.0,32.5,0.0,Unknown/Needs Review
185498-22a,24.265,,155.715,,33.38333333333333,,Unknown/Needs Review
1855-1 OPT,27.356,,149.356,,33.21666666666667,,Unknown/Needs Review
185590-10GG,71.836,,124.406,,28.98333333333333,,Light Naphtha
185599-1a,25.345,,155.084,,34.0,,Unknown/Needs Review
185642-8a,26.86,0.0,155.679,0.0,35.45,0.0,Unknown/Needs Review
