product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_test_duration,std_test_duration,category
CBOBRR,29.372,1.4184061477588126,148.066,11.11892643198973,33.45555555555556,0.5302864355267882,Unknown/Needs Review
Camin Gas RVP +9.5,23.714,,23.864,,7.166666666666667,,Unknown/Needs Review
Camin Gas RVP -9.5,114.939,,133.917,,35.46666666666667,,Unknown/Needs Review
Camin High Aro light,25.474,,39.697,,25.03333333333333,,Unknown/Needs Review
D 850 IBP<110C,99.707,0.0,118.97,0.0,31.15,0.0,Unknown/Needs Review
D 850 IBP<110C TOL,102.76488,7.142095195155733,115.27544,11.806967967687546,29.106666666666666,1.628010032729119,Unknown/Needs Review
D-850 TOLUENE,128.71550000000002,41.31695633151116,128.8715,41.387667009629816,29.94166666666667,7.436406315478525,Unknown/Needs Review
D850 M-XYLENE,127.9665,0.106773123959171,128.563,0.8046875169903048,24.425,0.7424621202458742,Unknown/Needs Review
D850 MIXED XYLENE,127.7922222222222,0.4377475807408246,128.079,0.8342989572089917,31.829629629629625,0.3901368863917582,Unknown/Needs Review
D850 Toluene,99.375,,99.645,,26.53333333333333,,Unknown/Needs Review
D850-tol,99.22385714285714,0.6032620847170328,102.31957142857142,4.335173578114367,28.152380952380952,0.911979357883911,Unknown/Needs Review
D850-xylene,127.97833333333334,0.6749224646826708,129.03300000000002,0.5352036995387931,27.272222222222226,0.1347150628109134,Unknown/Needs Review
G1,27.725,,63.779,,35.5,,Unknown/Needs Review
G3 HIGH BOIL,56.749,,291.546,,29.716666666666665,,Unknown/Needs Review
G4 HIGH BOIL,173.85336363636364,46.56304387095134,285.0180909090909,60.482315146786114,32.53181818181818,7.129126316698425,Unknown/Needs Review
GAS EVAP HIGH EP,39.181,,269.792,,27.48333333333333,,Unknown/Needs Review
HEXADECAN CAL 2,265.9499090909091,0.4774018128464697,266.92318181818183,0.5152261286429107,38.2560606060606,2.7152375865686524,Unknown/Needs Review
MEG D1078,186.3092,0.3007552160811329,186.24,0.2130586773637789,37.99666666666667,0.6680610417885154,Unknown/Needs Review
Mixed Xylenes,127.275,,129.259,,32.016666666666666,,Unknown/Needs Review
NAPH,26.044,0.0,88.563,0.0,34.21666666666667,0.0,Unknown/Needs Review
NP 2400,93.435,,135.956,,35.43333333333333,,Unknown/Needs Review
Naphtha-Crude HB,46.788,,305.053,,31.03333333333333,,Unknown/Needs Review
PARAXYLENE,125.792,,126.79,,42.23333333333333,,Unknown/Needs Review
PSEUDOCUMENE,158.156,,158.091,,28.58333333333333,,Unknown/Needs Review
Reformate,117.943,,156.374,,36.13333333333333,,Unknown/Needs Review
TOLUENE   CAL 1,97.96021428571429,0.3362355352499716,98.21292857142858,0.2728382062930096,32.351190476190474,7.159580468913139,Unknown/Needs Review
TOLUENE DD850,109.09133333333334,16.604239107328393,109.54266666666668,17.325129215487348,29.45,2.690931272089851,Unknown/Needs Review
TRANS,49.672875,8.61878097839662,273.04200000000003,58.28578885849572,34.16458333333333,1.4445144595363275,Unknown/Needs Review
TRANS 53.9,47.46,9.552350271754367,248.32175,91.20667454076874,35.483333333333334,8.688137323887679,Unknown/Needs Review
TRANS HEAVY,48.523,2.310824960917635,307.879,5.515432893255059,29.03333333333333,0.0,Unknown/Needs Review
TRANSMIX?,45.674,0.0,301.47,0.0,34.11666666666667,0.0,Unknown/Needs Review
Toluene for QC,98.82516666666668,3.774129166664365,103.73383333333334,14.830436600675876,38.73888888888889,1.3962515957084969,Unknown/Needs Review
Transmix,57.0175,18.5863017434884,292.656,26.21951944639721,34.391666666666666,2.604509977370445,Unknown/Needs Review
naptha,27.617,,79.594,,29.08333333333333,,Unknown/Needs Review
natural gas 210,25.932,3.1395541084682708,57.6115,34.684294723981345,35.11666666666667,0.9899494936611706,Unknown/Needs Review
transmix 53.9,48.847,5.63839040270655,284.93014285714287,20.86041811204953,37.07619047619047,1.3436013360608672,Unknown/Needs Review
